step,timestamp,min_depth_m,action
0,2026-04-14T18:05:46.707463+00:00,0.593,FORWARD
1,2026-04-14T18:05:46.708567+00:00,0.558,FORWARD
2,2026-04-14T18:05:46.709455+00:00,0.522,FORWARD
3,2026-04-14T18:05:46.710662+00:00,0.489,TURN_LEFT
4,2026-04-14T18:05:46.711690+00:00,0.458,TURN_LEFT
5,2026-04-14T18:05:46.712868+00:00,0.429,TURN_LEFT
6,2026-04-14T18:05:46.714148+00:00,0.404,TURN_LEFT
7,2026-04-14T18:05:46.715206+00:00,0.383,TURN_LEFT
8,2026-04-14T18:05:46.716198+00:00,0.365,TURN_LEFT
9,2026-04-14T18:05:46.717236+00:00,0.353,TURN_LEFT
10,2026-04-14T18:05:46.718233+00:00,0.346,TURN_LEFT
11,2026-04-14T18:05:46.719287+00:00,0.343,TURN_LEFT
12,2026-04-14T18:05:46.720553+00:00,0.346,TURN_LEFT
13,2026-04-14T18:05:46.721996+00:00,0.353,TURN_LEFT
14,2026-04-14T18:05:46.723083+00:00,0.366,TURN_LEFT
15,2026-04-14T18:05:46.724105+00:00,0.383,TURN_LEFT
16,2026-04-14T18:05:46.725157+00:00,0.404,TURN_LEFT
17,2026-04-14T18:05:46.726313+00:00,0.429,TURN_LEFT
18,2026-04-14T18:05:46.727328+00:00,0.458,TURN_LEFT
19,2026-04-14T18:05:46.728341+00:00,0.490,TURN_LEFT
20,2026-04-14T18:05:46.729301+00:00,0.523,FORWARD
21,2026-04-14T18:05:46.730809+00:00,0.558,FORWARD
22,2026-04-14T18:05:46.731798+00:00,0.593,FORWARD
23,2026-04-14T18:05:46.732649+00:00,0.557,FORWARD
24,2026-04-14T18:05:46.733444+00:00,0.522,FORWARD
25,2026-04-14T18:05:46.734462+00:00,0.489,TURN_RIGHT
26,2026-04-14T18:05:46.735547+00:00,0.458,TURN_RIGHT
27,2026-04-14T18:05:46.736651+00:00,0.429,TURN_RIGHT
28,2026-04-14T18:05:46.737747+00:00,0.404,TURN_RIGHT
29,2026-04-14T18:05:46.739332+00:00,0.383,TURN_RIGHT
30,2026-04-14T18:05:46.740480+00:00,0.365,TURN_RIGHT
31,2026-04-14T18:05:46.741518+00:00,0.353,TURN_RIGHT
32,2026-04-14T18:05:46.742587+00:00,0.346,TURN_RIGHT
33,2026-04-14T18:05:46.743598+00:00,0.343,TURN_RIGHT
34,2026-04-14T18:05:46.744615+00:00,0.346,TURN_RIGHT
35,2026-04-14T18:05:46.745637+00:00,0.353,TURN_RIGHT
36,2026-04-14T18:05:46.747093+00:00,0.366,TURN_RIGHT
37,2026-04-14T18:05:46.748536+00:00,0.383,TURN_RIGHT
38,2026-04-14T18:05:46.749622+00:00,0.404,TURN_RIGHT
39,2026-04-14T18:05:46.750769+00:00,0.430,TURN_RIGHT
40,2026-04-14T18:05:46.751803+00:00,0.458,TURN_RIGHT
41,2026-04-14T18:05:46.752855+00:00,0.490,TURN_RIGHT
42,2026-04-14T18:05:46.753689+00:00,0.523,FORWARD
43,2026-04-14T18:05:46.754539+00:00,0.558,FORWARD
44,2026-04-14T18:05:46.755753+00:00,0.592,FORWARD
45,2026-04-14T18:05:46.756754+00:00,0.557,FORWARD
46,2026-04-14T18:05:46.757797+00:00,0.522,FORWARD
47,2026-04-14T18:05:46.758938+00:00,0.489,TURN_LEFT
48,2026-04-14T18:05:46.759971+00:00,0.458,TURN_LEFT
49,2026-04-14T18:05:46.760976+00:00,0.429,TURN_LEFT
50,2026-04-14T18:05:46.761977+00:00,0.404,TURN_LEFT
51,2026-04-14T18:05:46.762995+00:00,0.383,TURN_LEFT
52,2026-04-14T18:05:46.764106+00:00,0.365,TURN_LEFT
53,2026-04-14T18:05:46.765782+00:00,0.353,TURN_LEFT
54,2026-04-14T18:05:46.766912+00:00,0.345,TURN_LEFT
55,2026-04-14T18:05:46.767952+00:00,0.343,TURN_LEFT
56,2026-04-14T18:05:46.768957+00:00,0.346,TURN_LEFT
57,2026-04-14T18:05:46.770178+00:00,0.353,TURN_LEFT
58,2026-04-14T18:05:46.771137+00:00,0.366,TURN_LEFT
59,2026-04-14T18:05:46.772235+00:00,0.383,TURN_LEFT
60,2026-04-14T18:05:46.773890+00:00,0.405,TURN_LEFT
61,2026-04-14T18:05:46.775166+00:00,0.430,TURN_LEFT
62,2026-04-14T18:05:46.776214+00:00,0.459,TURN_LEFT
63,2026-04-14T18:05:46.777215+00:00,0.490,TURN_LEFT
64,2026-04-14T18:05:46.778039+00:00,0.523,FORWARD
65,2026-04-14T18:05:46.778861+00:00,0.559,FORWARD
66,2026-04-14T18:05:46.779662+00:00,0.592,FORWARD
67,2026-04-14T18:05:46.780431+00:00,0.557,FORWARD
68,2026-04-14T18:05:46.781415+00:00,0.522,FORWARD
69,2026-04-14T18:05:46.783026+00:00,0.488,TURN_RIGHT
70,2026-04-14T18:05:46.784085+00:00,0.457,TURN_RIGHT
71,2026-04-14T18:05:46.785136+00:00,0.428,TURN_RIGHT
72,2026-04-14T18:05:46.786169+00:00,0.403,TURN_RIGHT
73,2026-04-14T18:05:46.787305+00:00,0.382,TURN_RIGHT
74,2026-04-14T18:05:46.788328+00:00,0.365,TURN_RIGHT
75,2026-04-14T18:05:46.789570+00:00,0.353,TURN_RIGHT
76,2026-04-14T18:05:46.791748+00:00,0.345,TURN_RIGHT
77,2026-04-14T18:05:46.793146+00:00,0.343,TURN_RIGHT
78,2026-04-14T18:05:46.794375+00:00,0.346,TURN_RIGHT
